date,index_type,index_norm
2019-01-01,Core Essentials,104.96952054271833
2019-02-01,Core Essentials,105.25140296795794
2019-03-01,Core Essentials,105.52636412848004
2019-04-01,Core Essentials,105.58194901079897
2019-05-01,Core Essentials,105.78656669511695
2019-06-01,Core Essentials,105.96726406799921
2019-07-01,Core Essentials,106.13201146606383
2019-08-01,Core Essentials,106.29363612515743
2019-09-01,Core Essentials,106.55844555661498
2019-10-01,Core Essentials,106.76492676899578
2019-11-01,Core Essentials,106.97285803751078
2019-12-01,Core Essentials,107.13803532229822
2020-01-01,Core Essentials,107.51738449378101
2020-02-01,Core Essentials,107.79357493828378
2020-03-01,Core Essentials,107.88023650062904
2020-04-01,Core Essentials,108.8631186610943
2020-05-01,Core Essentials,109.22472689691907
2020-06-01,Core Essentials,109.45132414987397
2020-07-01,Core Essentials,109.31208263451964
2020-08-01,Core Essentials,109.42514818214997
2020-09-01,Core Essentials,109.49477845139182
2020-10-01,Core Essentials,109.74837356467387
2020-11-01,Core Essentials,109.83426888073879
2020-12-01,Core Essentials,110.05309697918698
2021-01-01,Core Essentials,110.09882314470329
2021-02-01,Core Essentials,110.41799917200028
2021-03-01,Core Essentials,110.63619530337894
2021-04-01,Core Essentials,110.99966303122666
2021-05-01,Core Essentials,111.3483834972366
2021-06-01,Core Essentials,111.80461683810714
2021-07-01,Core Essentials,112.25348609935408
2021-08-01,Core Essentials,112.67116994356292
2021-09-01,Core Essentials,113.35158774613619
2021-10-01,Core Essentials,114.13899157306197
2021-11-01,Core Essentials,114.72317965469563
2021-12-01,Core Essentials,115.15878601890202
2022-01-01,Core Essentials,115.9683397165099
2022-02-01,Core Essentials,116.78581520216052
2022-03-01,Core Essentials,117.71012084412354
2022-04-01,Core Essentials,118.59372631280306
2022-05-01,Core Essentials,119.69569288275356
2022-06-01,Core Essentials,120.86684785058321
2022-07-01,Core Essentials,121.84406445555842
2022-08-01,Core Essentials,122.8458933923726
2022-09-01,Core Essentials,123.69720384857771
2022-10-01,Core Essentials,124.33521723379887
2022-11-01,Core Essentials,124.94228163820075
2022-12-01,Core Essentials,125.76389791444646
2023-01-01,Core Essentials,126.58622954910474
2023-02-01,Core Essentials,127.11887823345285
2023-03-01,Core Essentials,127.30016506508461
2023-04-01,Core Essentials,127.71424415296886
2023-05-01,Core Essentials,128.10793276756897
2023-06-01,Core Essentials,128.54285567069257
2023-07-01,Core Essentials,129.02143727255333
2023-08-01,Core Essentials,129.48838822435513
2023-09-01,Core Essentials,129.95873815392073
2023-10-01,Core Essentials,130.45171336980007
2023-11-01,Core Essentials,130.9220984750532
2023-12-01,Core Essentials,131.31782122554364
2024-01-01,Core Essentials,131.9929264236722
2024-02-01,Core Essentials,132.5060234840783
2024-03-01,Core Essentials,132.89891223772145
2024-04-01,Core Essentials,133.1930450687659
2024-05-01,Core Essentials,133.55730631080405
2024-06-01,Core Essentials,133.8585625454672
2024-07-01,Core Essentials,134.23529455506406
2024-08-01,Core Essentials,134.60393346682454
2024-09-01,Core Essentials,135.03838141617024
2024-10-01,Core Essentials,135.50936770459663
2024-11-01,Core Essentials,135.83867680023263
2024-12-01,Core Essentials,136.26012490566174
2025-01-01,Core Essentials,136.7229359136426
2025-02-01,Core Essentials,137.1098066694446
