YEAR,AGE,avg_no_children,avg_no_children_3_year
1983,33,1.7876124983288275,1.8306464547678913
1983,34,1.95359054625152,1.8861979064885908
1983,35,1.9221493587563039,1.9724069982231074
1983,36,2.0432346999488042,2.0385280264615577
1983,37,2.191394987048401,2.1603787142346356
1983,38,2.2804071223310887,2.294601871916399
1983,39,2.415395999139123,2.4055008505897892
1983,40,2.5127164969373137,2.516681700995897
1983,41,2.624895514097052,2.5920805291553157
1983,42,2.6547100196657794,2.7015773748449385
1983,43,2.838980278338108,2.7851711322935215
1983,44,2.8669915205438157,2.853171170711938
1984,18,0.13526189494445903,0.16272420647999636
1984,19,0.18997757678468558,0.21241787723404285
1984,20,0.30709017801705085,0.2926966805690779
1984,21,0.3725863604811017,0.3948599579935265
1984,22,0.5029654301068474,0.49903266470703894
1984,23,0.6139341554369787,0.6265722573543084
1984,24,0.7552733820031851,0.737388324357546
1984,25,0.8528647355095257,0.8739547843000821
1984,26,1.0184747030673078,1.0099531973725684
1984,27,1.1586259278382254,1.1402660352913838
1984,28,1.2355876196774522,1.2472789537973097
1984,29,1.3446447293596457,1.3340391191014185
1984,30,1.4332923902727746,1.4391871551296007
1984,31,1.5491144758802182,1.5506886918627865
1984,32,1.6800573665636886,1.6793594579540223
1984,33,1.8047018041539311,1.787765489028646
1984,34,1.8786843442365158,1.8854507864551953
1984,35,1.9802531757110657,1.9282492441688455
1984,36,1.9258872771118027,1.9999112287864331
1984,37,2.0903158815874394,2.0780549076760084
1984,38,2.2696222324620763,2.2009185996229865
1984,39,2.2875775651071737,2.3171011601076086
1984,40,2.389013255170677,2.4032497913837867
1984,41,2.5217057508685357,2.5055860617633607
1984,42,2.614519629922026,2.5729220314417582
1984,43,2.590286943701209,2.6384578139271784
1984,44,2.7191710056790863,2.6517868110445
1986,18,0.12131802077345144,0.15722461625384573
1986,19,0.19143336313387452,0.20772077109411236
1986,20,0.3043361139614756,0.2990231836935804
1986,21,0.3935111453377218,0.3938876731728627
1986,22,0.47886504244610345,0.5116892206880126
1986,23,0.6513560313753838,0.6299313271374711
1986,24,0.7500704020568741,0.776416396733928
1986,25,0.9186855328957171,0.9027606570894173
1986,26,1.034488777116672,1.0073231169986898
1986,27,1.074946959205586,1.0989571562111295
1986,28,1.188128731672498,1.191300340846038
1986,29,1.3025768930920634,1.347047859745968
1986,30,1.553524444187228,1.4503121631367926
1986,31,1.5028590750453188,1.5627929203295063
1986,32,1.6350433027019995,1.6169077815851662
1986,33,1.7226656133781544,1.7323725371332572
1986,34,1.846909904909747,1.7974942413345787
1986,35,1.8251209165014028,1.8717866505359007
1986,36,1.9480845180626682,1.9010433620510103
1986,37,1.9339660607358438,1.9897398605413352
1986,38,2.082847006389241,2.040065787864339
1986,39,2.1026975965603345,2.0807872411240105
1986,40,2.0519037058147203,2.1363759376383
1986,41,2.26802451262842,2.2000694892856014
1986,42,2.2913313517913236,2.3240885989348614
1986,43,2.409742003335158,2.4040192288152755
1986,44,2.514929077343461,2.4597810175536696
1987,18,0.13403805504162686,0.1642754406081201
1987,19,0.19463251994888636,0.21493127238659593
1987,20,0.3106369141750692,0.3139248617940784
1987,21,0.43443573942483626,0.4238786235809573
1987,22,0.5252389388809764,0.5248412022165195
1987,23,0.6011539663853315,0.6192517815776144
1987,24,0.7272698288967244,0.7343765309618354
1987,25,0.87947223216122,0.8806620616282436
1987,26,1.0179455886498645,1.0273658753368378
1987,27,1.179213876134078,1.1434800450557998
1987,28,1.2399036272422617,1.2580910079892038
1987,29,1.3515413988494356,1.3476089161554035
1987,30,1.4523291698932803,1.4523898608059969
1987,31,1.5587708508061753,1.5332641665763342
1987,32,1.5890226303872796,1.6136126376466413
1987,33,1.6924598565338942,1.679036301765841
1987,34,1.7605175963774748,1.7615893137117875
1987,35,1.840098870947704,1.8717067503712737
1987,36,2.014023039812578,1.9400381772309212
1987,37,1.9643233494813677,2.003234765199877
1987,38,2.029949787190858,2.0212764208708407
1987,39,2.065632036876985,2.062514726273174
1987,40,2.0888245520267765,2.0877203342036657
1987,41,2.114311119607309,2.1390572052045558
1987,42,2.2357596971493865,2.2306251606092222
1987,43,2.3466411965429157,2.3113721987154436
1987,44,2.3482242711570955,2.347439745530767
1988,18,0.10130473698907586,0.12970967181019982
1988,19,0.16058621004494303,0.176824347753931
1988,20,0.27041322845398635,0.27821419651921764
1988,21,0.399534026715869,0.39938810566430916
1988,22,0.5218089448582643,0.5003472695847171
1988,23,0.5753069497103815,0.6034766468445818
1988,24,0.702792180751728,0.7168225428387005
1988,25,0.8515931281967083,0.8322990844908369
1988,26,0.9426141494468019,0.9733373190614221
1988,27,1.1286889382750043,1.0987590714056754
1988,28,1.2191985988362342,1.2227818993820685
1988,29,1.316009054545927,1.3332668951992206
1988,30,1.4608280776313467,1.437483477838297
1988,31,1.5379985737825015,1.5075746669172652
1988,32,1.5258047545715103,1.59464879780236
1988,33,1.7239968656265126,1.644924723381649
1988,34,1.6879202053484388,1.75434055337668
1988,35,1.8552858113545077,1.8202783883033402
1988,36,1.9312800868840176,1.9088373658566002
1988,37,1.9424694246106546,1.959651070499303
1988,38,2.006736765529782,1.983680576244082
1988,39,2.0048400405703455,1.9884623076401449
1988,40,1.9546222697906188,2.0331547434477955
1988,41,2.137419774339732,2.059379359510031
1988,42,2.092333530933269,2.164460564746191
1988,43,2.2691583112540603,2.234168598313551
1988,44,2.3456995128438836,2.305947391447835
1990,15,0.0224079704327532,0.026473430979872665
1990,16,0.03047606312606246,0.04474826700989857
1990,17,0.08160195224302316,0.0757879466046078
1990,18,0.11245176434360415,0.15052673243652964
1990,19,0.24271146753521344,0.22047767006063115
1990,20,0.2996629248606593,0.3406040108814909
1990,21,0.4971617804903069,0.462807776124169
1990,22,0.5966937085839085,0.597400228093482
1990,23,0.6858941693649456,0.695067648687494
1990,24,0.7983137650497597,0.7693314600388931
1990,25,0.8219098948454755,0.8677307884598684
1990,26,0.979201737141039,0.965864364784021
1990,27,1.090600949367122,1.1071240398130047
1990,28,1.2463022673931954,1.2140764782548132
1990,29,1.3015565853685571,1.350120645055526
1990,30,1.4992608199605544,1.4510500874606775
1990,31,1.559313342584182,1.5503701110037191
1990,32,1.5930641726358044,1.60089018310348
1990,33,1.6475071933115597,1.6348150463499842
1990,34,1.6657933207993951,1.7243337557488985
1990,35,1.8569544811424048,1.8059339712966704
1990,36,1.8945516232709523,1.8942773844856229
1990,37,1.9351199022587573,1.917998478345661
1990,38,1.9250637135529427,1.9421561547437607
1990,39,1.9655200435535172,1.9476565296400077
1990,40,1.9509335282735853,1.966716286739041
1990,41,1.98452010586156,1.9896055804039132
1990,42,2.0375326182414097,2.0445201509607838
1990,43,2.109829272319713,2.1114329656458874
1990,44,2.2030856966870624,2.1503978773117014
1992,15,0.014048204715772263,0.02404988603707709
1992,16,0.034666099887680164,0.03461518560333315
