qtr_date,cpi,pi,pi_l1,pi_l2,core_pce,core_pce_pi,core_pce_pi_l1,core_pce_pi_l2,exp_pi10,unrate,nairu,unrate_gap,unemp,job_open,v_u,gscpi,good4u_views,good4u_views_norm,good4u_views_log,y2021_2022
2000-07-01,173.0,3.638852154007566,3.1231858843778326,3.9385903088248853,75.04966666666667,1.9251312156534084,1.393072266450801,2.0906440296744933,2.5306,4.0,5.081701651,-1.0817016510000004,5741.666666666667,,,0.041923494585784225,0.0,0.0,0.0,0
2000-10-01,174.23333333333335,2.8415210211949926,3.638852154007566,3.1231858843778326,75.42133333333334,1.976021545767992,1.9251312156534084,1.393072266450801,2.5818,3.9,5.07476733,-1.1747673300000003,5602.333333333333,5088.0,0.9030883919062833,-0.7197890941970059,0.0,0.0,0.0,0
2001-01-01,175.9,3.8081018770981245,2.8415210211949926,3.638852154007566,75.91166666666668,2.5920852647836057,1.976021545767992,1.9251312156534084,2.525,4.233333333333333,5.068230454,-0.8348971206666667,6084.333333333333,5031.0,0.8271763873671691,-0.7506374956322818,0.0,0.0,0.0,0
2001-04-01,177.13333333333333,2.7948371656364657,3.8081018770981245,2.8415210211949926,76.19866666666667,1.50943244568289,2.5920852647836057,1.976021545767992,2.6121,4.3999999999999995,5.062071269,-0.6620712690000001,6327.0,4467.0,0.7064117132014346,-0.9241091301293444,0.0,0.0,0.0,0
2001-07-01,177.63333333333333,1.127502390809454,2.7948371656364657,3.8081018770981245,76.39533333333333,1.031059022288261,1.50943244568289,2.5920852647836057,2.5767,4.833333333333333,5.056273458,-0.22294012466666668,6922.333333333333,4180.666666666667,0.6056549490885992,-0.7498165551503942,0.0,0.0,0.0,0
2001-10-01,177.5,-0.30035668766252854,1.127502390809454,2.7948371656364657,76.764,1.9256671894165578,1.031059022288261,1.50943244568289,2.5204,5.5,5.050824352,0.44917564799999976,7985.0,3719.6666666666665,0.46625577123707185,-1.2543720430289067,0.0,0.0,0.0,0
2002-01-01,178.0666666666667,1.27496123691202,-0.30035668766252854,1.127502390809454,76.99966666666667,1.2261250335935614,1.9256671894165578,1.031059022288261,2.5894,5.7,5.045714998999999,0.6542850010000008,8233.666666666666,3582.3333333333335,0.4351067778746887,-0.5926828147650763,0.0,0.0,0.0,0
2002-04-01,179.46666666666667,3.1325910618630104,1.27496123691202,-0.30035668766252854,77.42333333333333,2.194842631772431,1.2261250335935614,1.9256671894165578,2.5456,5.833333333333333,5.0409400710000005,0.7923932623333325,8463.666666666666,3446.6666666666665,0.40725915220163583,-0.49557508954585155,0.0,0.0,0.0,0
2002-07-01,180.4333333333333,2.1487501889655647,3.1325910618630104,1.27496123691202,77.83633333333333,2.1280528703382373,2.194842631772431,1.2261250335935614,2.5437,5.733333333333333,5.036497622,0.6968357113333337,8315.0,3395.0,0.40830487719976644,-1.0454148871053266,0.0,0.0,0.0,0
2002-10-01,181.5,2.3577154280332024,2.1487501889655647,3.1325910618630104,78.113,1.4192658654465617,2.1280528703382373,2.194842631772431,2.3857,5.866666666666667,5.032388701,0.8342779656666668,8489.0,3387.3333333333335,0.39934238025493896,-0.8834846063962821,0.0,0.0,0.0,0
2003-01-01,183.36666666666667,4.092855003359119,2.3577154280332024,2.1487501889655647,78.354,1.2322096829791462,1.4192658654465617,2.1280528703382373,2.4735,5.866666666666667,5.028616825,0.8380498416666669,8575.333333333334,3256.3333333333335,0.37980216399893113,-0.41340054250048097,0.0,0.0,0.0,0
2003-04-01,183.0666666666667,-0.6549623950384387,4.092855003359119,2.3577154280332024,78.65100000000001,1.5133294061204339,1.2322096829791462,1.4192658654465617,2.4636,6.133333333333333,5.025187331000001,1.1081460023333323,9021.666666666666,3262.3333333333335,0.36151889400238774,-0.28389297139174435,0.0,0.0,0.0,0
2003-07-01,184.4333333333333,2.9750704040989007,-0.6549623950384387,4.092855003359119,79.01100000000001,1.8266957194658318,1.5133294061204339,1.2322096829791462,2.4593,6.133333333333333,5.022106626,1.1112267073333326,8942.666666666666,3087.3333333333335,0.34529727957273953,0.005346419359565102,0.0,0.0,0.0,0
2003-10-01,185.13333333333333,1.515289987454338,2.9750704040989007,-0.6549623950384387,79.365,1.7881526975653372,1.8266957194658318,1.5133294061204339,2.4574,5.833333333333333,5.019381339,0.8139519943333333,8541.666666666666,3347.6666666666665,0.39219024432629207,-0.341940779193975,0.0,0.0,0.0,0
