
bls_area_name,bls_target,census_area_name,match_score,method
"Decatur, IL","Decatur, IL","Decatur, IL",100.0,exact
"Elgin, IL Metropolitan Division","Chicago-Naperville-Elgin, IL-IN","Chicago-Naperville-Elgin, IL-IN Metro Area, IL",100.0,add metro area
"Kankakee, IL","Kankakee, IL","Kankakee, IL",100.0,exact
"Lake County, IL Metropolitan Division","Chicago-Naperville-Elgin, IL-IN","Chicago-Naperville-Elgin, IL-IN Metro Area, IL",100.0,add metro area
"Peoria, IL","Peoria, IL","Peoria, IL",100.0,exact
"Rockford, IL","Rockford, IL","Rockford, IL",100.0,exact
"Springfield, IL","Springfield, IL","Springfield, IL",100.0,exact
"Bloomington, IN","Bloomington, IN","Bloomington, IN",100.0,exact
"Columbus, IN","Columbus, IN","Columbus, IN",100.0,exact
"Elkhart-Goshen, IN","Elkhart-Goshen, IN","Elkhart-Goshen, IN",100.0,exact
"Evansville, IN","Evansville, IN","Evansville, IN",100.0,exact
"Fort Wayne, IN","Fort Wayne, IN","Fort Wayne, IN",100.0,exact
"Indianapolis-Carmel-Greenwood, IN","Indianapolis-Carmel-Greenwood, IN","Indianapolis-Carmel-Greenwood, IN",100.0,exact
"Kokomo, IN","Kokomo, IN","Kokomo, IN",100.0,exact
"Lafayette-West Lafayette, IN","Lafayette-West Lafayette, IN","Lafayette-West Lafayette, IN",100.0,exact
"Lake County-Porter County-Jasper County, IN Metropolitan Division","Chicago-Naperville-Elgin, IL-IN","Chicago-Naperville-Elgin, IL-IN Metro Area, IL",100.0,add metro area
"Michigan City-La Porte, IN","Michigan City-La Porte, IN","Michigan City-La Porte, IN",100.0,exact
"Muncie, IN","Muncie, IN","Muncie, IN",100.0,exact
"South Bend-Mishawaka, IN-MI","South Bend-Mishawaka, IN-MI","South Bend-Mishawaka, IN-MI Metro Area, IN",100.0,add metro area
"Terre Haute, IN","Terre Haute, IN","Terre Haute, IN",100.0,exact
"Ames, IA","Ames, IA","Ames, IA",100.0,exact
"Cedar Rapids, IA","Cedar Rapids, IA","Cedar Rapids, IA",100.0,exact
"Davenport-Moline-Rock Island, IA-IL","Davenport-Moline-Rock Island, IA-IL","Davenport-Moline-Rock Island, IA-IL Metro Area, IA",100.0,add metro area
"Des Moines-West Des Moines, IA","Des Moines-West Des Moines, IA","Des Moines-West Des Moines, IA",100.0,exact
"Dubuque, IA","Dubuque, IA","Dubuque, IA",100.0,exact
"Iowa City, IA","Iowa City, IA","Iowa City, IA",100.0,exact
"Sioux City, IA-NE-SD","Sioux City, IA-NE-SD","Sioux City, IA-NE-SD Metro Area, IA",100.0,add metro area
"Waterloo-Cedar Falls, IA","Waterloo-Cedar Falls, IA","Waterloo-Cedar Falls, IA",100.0,exact
"Lawrence, KS","Lawrence, KS","Lawrence, KS",100.0,exact
"Manhattan, KS","Manhattan, KS","Manhattan, KS",100.0,exact
"Topeka, KS","Topeka, KS","Topeka, KS",100.0,exact
"Wichita, KS","Wichita, KS","Wichita, KS",100.0,exact
"Bowling Green, KY","Bowling Green, KY","Bowling Green, KY",100.0,exact
"Elizabethtown, KY","Elizabethtown, KY","Elizabethtown, KY",100.0,exact
